"nvestee_ompany_ame","nvestee_ompany_ation","nvestee_ompany_conomic_ector","nvestment_ate","ound_umber","nvestment_tage","irm_nvestor_ame","und_nvestor_ame","nvestor_quity_otal_illions","isclosed_und_quity_ontribution_illions","ound_quity_otal_illions","isclosed_ebt_ontribution_illions","eal_alue_illions","eal_ank_alue_illions","year"
"63Ideas Infolabs Pvt Ltd","India","Technology",2019-04-27,4,"Expansion","Tiger Global Management LLC","Tiger Global Management LLC - Unspecified Fund",100,100,100,0,0,100,2019
"63Ideas Infolabs Pvt Ltd","India","Technology",2019-10-01,6,"Bridge Loan","Steadview Capital Management LLC","Steadview Capital Management LLC - Unspecified Fund",0,0,0,0,0,0,2019
"63Ideas Infolabs Pvt Ltd","India","Technology",2019-10-01,6,"Bridge Loan","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2019
"63Ideas Infolabs Pvt Ltd","India","Technology",2020-01-11,8,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,10,0,0,10,2020
"63Ideas Infolabs Pvt Ltd","India","Technology",2020-01-11,8,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,10,0,0,10,2020
"63Ideas Infolabs Pvt Ltd","India","Technology",2020-10-13,9,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2020
"63Ideas Infolabs Pvt Ltd","India","Technology",2020-10-13,9,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2020
"63Ideas Infolabs Pvt Ltd","India","Technology",2022-01-04,10,"Expansion","Undisclosed Firm","Undisclosed Fund",74,0,147,0,0,147,2022
"63Ideas Infolabs Pvt Ltd","India","Technology",2022-01-04,10,"Expansion","Undisclosed Firm","Undisclosed Fund",74,0,147,0,0,147,2022
"7 Classes","India","Academic & Educational Services",2020-09-28,1,"Mezzanine","Venture Catalysts Pvt Ltd","Venture Catalysts Pvt Ltd - Unspecified Fund",0,0,0,0,0,0,2020
