Investee Company Name,Investee Company Nation,Investee Company TRBC Economic Sector,Investment Date,Round Number,Investment Stage,Firm Investor Name,Fund Investor Name,"Investor Equity Total
(USD, Millions)","Disclosed Fund Equity Contribution
(USD, Millions)","Round Equity Total
(USD, Millions)","Disclosed Debt Contribution
(USD, Millions)","Deal Value
(USD, Millions)","Deal Rank Value
(USD, Millions)"
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,4,0,0,4
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,4,0,0,4
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,4,0,0,4
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,4,0,0,4
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,4,0,0,4
Aarthi Scans Pvt Ltd,India,Healthcare,2022-05-24,1,Acquisition,Tata Capital Ltd,Tata Capital - Unspecified Fund,0,0,0,0,0,0
Aavas Financiers Ltd,India,Financials,2016-02-12,1,Pending Acquisition,Kedaara Capital Investment Managers Ltd,Kedaara Capital Fund I,0,0,0,0,139,139
Aavas Financiers Ltd,India,Financials,2016-02-12,1,Pending Acquisition,Partners Group Holding AG,Partners Group AG - Unspecified Fund,0,0,0,0,139,139
Aavas Financiers Ltd,India,Financials,2016-02-12,1,Pending Acquisition,Undisclosed Firm,Undisclosed Fund,0,0,0,0,139,139
Aavas Financiers Ltd,India,Financials,2024-08-10,3,Acquisition,CVC Capital Partners SICAV-FIS SA,CVC Capital Partners Ltd - Unspecified Fund,0,0,0,0,0,0
Aayuv Technologies Pvt Ltd,India,Technology,2019-11-13,3,Expansion,Eight Roads Services (UK) Ltd,Eight Roads Capital Advisors (Hong Kong) Ltd - UF,1,0,4,0,0,4
Aayuv Technologies Pvt Ltd,India,Technology,2019-11-13,3,Expansion,Touchstone Equities Ltd,Touchstone Equities - Unspecified Fund,1,0,4,0,0,4
Aayuv Technologies Pvt Ltd,India,Technology,2019-11-13,3,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,4,0,0,4
Aayuv Technologies Pvt Ltd,India,Technology,2019-11-13,3,Expansion,Ventureast,Ventureast - Unspecified Fund,1,0,4,0,0,4
Aayuv Technologies Pvt Ltd,India,Technology,2022-03-17,4,Expansion,Eight Roads Services (UK) Ltd,Eight Roads Capital Advisors (Hong Kong) Ltd - UF,3,0,15,0,0,15
Aayuv Technologies Pvt Ltd,India,Technology,2022-03-17,4,Expansion,Endiya Partners,Endiya Partners,3,0,15,0,0,15
Aayuv Technologies Pvt Ltd,India,Technology,2022-03-17,4,Expansion,HealthQuad Advisors Pvt Ltd,HealthQuad Fund II,3,0,15,0,0,15
Aayuv Technologies Pvt Ltd,India,Technology,2022-03-17,4,Expansion,Sabre Partners India Advisors Pvt Ltd,Spring Healthcare Fund,3,0,15,0,0,15
Aayuv Technologies Pvt Ltd,India,Technology,2022-03-17,4,Expansion,Siana Capital Management LLP,Siana Capital Management - Unspecified Fund,3,0,15,0,0,15
Aayuv Technologies Pvt Ltd,India,Technology,2022-03-17,4,Expansion,Ventureast,Ventureast Proactive Fund II,3,0,15,0,0,15
Aban Offshore Ltd,India,Energy,2012-02-03,1,PIPE,Goldman Sachs Asset Management International LLC,Goldman Sachs Asset Management  - Unspecified Fund,5,5,5,0,0,5
Abee Research Labs Pvt. Ltd,India,Technology,2023-04-17,2,Expansion,Axilor Ventures Pvt Ltd,Axilor Ventures Pvt Ltd - Unspecified Fund,1,0,4,0,0,4
Abee Research Labs Pvt. Ltd,India,Technology,2023-04-17,2,Expansion,Pi Ventures LLP,pi Ventures - Unspecified Fund,1,0,4,0,0,4
Abee Research Labs Pvt. Ltd,India,Technology,2023-04-17,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,4,0,0,4
Abee Research Labs Pvt. Ltd,India,Technology,2023-04-17,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,4,0,0,4
Abee Research Labs Pvt. Ltd,India,Technology,2023-04-17,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,4,0,0,4
Abg Motors,India,Industrials,2007-11-23,1,Acquisition for Expansion,Tano Capital LLC,Tano Private Equity Fund I,15,0,15,0,0,15
ABG Shipyard Ltd,India,Industrials,2005-06-01,1,PIPE,IL & FS Investment Managers Ltd,"Leverage India Fund, The",7,7,32,0,0,32
ABG Shipyard Ltd,India,Industrials,2005-06-01,1,PIPE,Intermediate Capital Group PLC,Merlion India Fund,20,20,32,0,0,32
ABG Shipyard Ltd,India,Industrials,2005-06-01,1,PIPE,Intermediate Capital Group PLC,Standard Chartered Private Equity Fund - DIF,5,5,32,0,0,32
