Investee Company Name,Investee Company Nation,Investee Company TRBC Economic Sector,Investment Date,Round Number,Investment Stage,Firm Investor Name,Fund Investor Name,"Investor Equity Total
(USD, Millions)","Disclosed Fund Equity Contribution
(USD, Millions)","Round Equity Total
(USD, Millions)","Disclosed Debt Contribution
(USD, Millions)","Deal Value
(USD, Millions)","Deal Rank Value
(USD, Millions)"
Mynd Solutions Pvt Ltd,India,Industrials,2021-03-19,3,Expansion,"Mayfield Fund, LLC.",Mayfield Fund - Unspecified Fund,3,0,10,0,0,10
Mynd Solutions Pvt Ltd,India,Industrials,2022-11-15,4,Expansion,Beenext Pte Ltd,ALL STAR SAAS FUND THREE LP,2,0,5,0,0,5
Mynd Solutions Pvt Ltd,India,Industrials,2022-11-15,4,Expansion,Undisclosed Firm,Undisclosed Fund,2,0,5,0,0,5
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2011-03-14,3,Expansion,Chiratae Ventures India Advisors Pvt Ltd,IDG Ventures India Fund I,5,0,14,0,0,14
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2011-03-14,3,Expansion,Kalaari Capital Advisors Pvt Ltd,"IndoUS Ventures Management, LLC",5,0,14,0,0,14
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2011-03-14,3,Expansion,Tiger Global Management LLC,Tiger Global Management LLC - Unspecified Fund,5,0,14,0,0,14
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2012-02-09,4,Expansion,Chiratae Ventures India Advisors Pvt Ltd,IDG Ventures India Fund I,7,0,20,0,0,20
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2012-02-09,4,Expansion,Kalaari Capital Advisors Pvt Ltd,"IndoUS Ventures Management, LLC",7,0,20,0,0,20
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2012-02-09,4,Expansion,Tiger Global Management LLC,Tiger Global Management LLC - Unspecified Fund,7,0,20,0,0,20
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2012-12-31,5,Expansion,Accel Partners Management LLP,Accel Partners & Co Inc - Unspecified Fund,0,0,0,0,0,0
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2012-12-31,5,Expansion,Tiger Global Management LLC,Tiger Global Management LLC - Unspecified Fund,0,0,0,0,0,0
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2012-12-31,5,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2014-02-03,6,Expansion,Accel Partners Management LLP,Accel Partners & Co Inc - Unspecified Fund,13,0,50,0,0,50
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2014-02-03,6,Expansion,Tiger Global Management LLC,Tiger Global Management LLC - Unspecified Fund,13,0,50,0,0,50
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2014-02-03,6,Expansion,Undisclosed Firm,Undisclosed Fund,13,0,50,0,0,50
Myntra Designs Pvt Ltd,India,Consumer Cyclicals,2014-02-03,6,Expansion,Undisclosed Firm,Undisclosed Fund,13,0,50,0,0,50
Mynvax Pvt Ltd,India,Healthcare,2024-05-24,2,Expansion,Equirus Capital Pvt Ltd,Inviga Healthcare Fund,2,2,3,0,0,3
Mynvax Pvt Ltd,India,Healthcare,2024-05-24,2,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,3,0,0,3
Mynvax Pvt Ltd,India,Healthcare,2024-05-24,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,3,0,0,3
MyScoot Tech Pvt Ltd,India,Technology,2024-03-05,2,Expansion,Chiratae Ventures India Advisors Pvt Ltd,Chiratae Ventures India Advisors Pvt Ltd - Unspecified Fund,2,0,6,0,0,6
MyScoot Tech Pvt Ltd,India,Technology,2024-03-05,2,Expansion,General Catalyst India,Venture Highway- Unspecified Fund,2,0,6,0,0,6
MyScoot Tech Pvt Ltd,India,Technology,2024-03-05,2,Expansion,"Mayfield Fund, LLC.","Mayfield India II, Ltd.",2,0,6,0,0,6
Myshaadi.in,India,Technology,2012-04-19,1,Expansion,Indian Angel Network Services Pvt Ltd,Indian Angel Network-DIF,0,0,0,0,0,0
Myshaadi.in,India,Technology,2012-04-19,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
MySmartPrice Web Technology Pvt Ltd,India,Technology,2015-07-14,5,Expansion,Accel Partners Management LLP,Accel Partners & Co Inc - Unspecified Fund,0,0,0,0,0,0
MySmartPrice Web Technology Pvt Ltd,India,Technology,2015-07-14,5,Expansion,Helion Venture Partners LLC,Helion Venture Partners  - Unspecified Fund,0,0,0,0,0,0
Myways Life Layouts Pvt Ltd,India,Technology,2023-08-31,1,Expansion,Real Time Accelerator Fund,Real-Time Angel Fund,0,0,0,0,0,0
N Ranga Rao & Sons Pvt Ltd,India,Basic Materials,2018-04-09,1,Acquisition,MOPE Investment Advisors Pvt Ltd,India Business Excellence Fund III,0,0,0,0,46,46
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2011-08-30,2,Expansion,Canaan Management Inc,"Canaan VIII, L.P.",7,7,7,0,0,7
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2011-10-19,3,Expansion,Canaan Management Inc,Canaan Management Inc - Unspecified Fund,8,0,25,0,0,25
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2011-10-19,3,Expansion,New Enterprise Associates Inc,New Enterprise Associates Inc - Unspecified Fund,8,0,25,0,0,25
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2011-10-19,3,Expansion,SVB Capital,SVB Capital - Unspecified Fund,8,0,25,0,0,25
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2012-12-21,4,Expansion,Canaan Management Inc,"Canaan VIII, L.P.",3,3,3,0,0,3
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2015-01-20,5,Expansion,Canaan Management Inc,"Canaan VIII, L.P.",5,5,5,0,0,5
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2015-04-28,6,Expansion,Canaan Management Inc,Canaan Management Inc - Unspecified Fund,5,0,21,0,0,21
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2015-04-28,6,Expansion,Mitsui & Co. Global Investment Inc,"Mitsui & Co. Global Investment, Ltd. - Unspecified Fund",5,0,21,0,0,21
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2015-04-28,6,Expansion,New Enterprise Associates Inc,New Enterprise Associates Inc - Unspecified Fund,5,0,21,0,0,21
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2015-04-28,6,Expansion,SVB Capital,SVB Capital - Unspecified Fund,5,0,21,0,0,21
Naaptol Online Shopping Pvt Ltd,India,Consumer Cyclicals,2015-11-24,7,Expansion,Mitsui & Co. Global Investment Inc,"Mitsui & Co. Global Investment, Ltd. - Unspecified Fund",52,0,52,0,0,52
Naffa Innovations Pvt Ltd,India,Technology,2018-03-07,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,5,0,0,5
Naffa Innovations Pvt Ltd,India,Technology,2018-03-07,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,5,0,0,5
Naffa Innovations Pvt Ltd,India,Technology,2018-03-07,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,5,0,0,5
Naffa Innovations Pvt Ltd,India,Technology,2018-03-07,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,5,0,0,5
Naffa Innovations Pvt Ltd,India,Technology,2018-03-07,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,5,0,0,5
Naftogaz India Pvt Ltd,India,Energy,2010-06-24,1,Expansion,Avigo Capital Partners Pvt Ltd,Avigo Capital Partners - Unspecified Fund,14,14,14,0,0,14
Nahar Industrial Enterprises Ltd,India,Consumer Cyclicals,2008-03-28,1,PIPE,Sequoia Capital Operations LLC,Sequoia Capital Growth Fund,30,30,30,0,0,30
Nanosafe Solutions Pvt Ltd,India,Industrials,2024-05-29,1,Expansion,IIM Lucknow Enterprise Incubation Centre,IIM Lucknow Enterprise Incubation Centre - Unspecified Fund,0,0,0,0,0,0
Nanosafe Solutions Pvt Ltd,India,Industrials,2024-05-29,1,Expansion,Indian Angel Network Services Pvt Ltd,Indian Angel Network - Unspecified Fund,0,0,0,0,0,0
Nanosafe Solutions Pvt Ltd,India,Industrials,2024-05-29,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Nanosafe Solutions Pvt Ltd,India,Industrials,2024-05-29,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Nanosafe Solutions Pvt Ltd,India,Industrials,2024-05-29,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Nanosafe Solutions Pvt Ltd,India,Industrials,2024-05-29,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Napsa Pvt Ltd,India,Consumer Cyclicals,2022-10-07,3,Expansion,Agility Ventures Pvt Ltd,Agility Ventures Pvt Ltd - Unspecified Fund,0,0,2,0,0,2
Napsa Pvt Ltd,India,Consumer Cyclicals,2022-10-07,3,Expansion,Ipv Advisors Pvt Ltd,IPV Advisors Pvt Ltd - Unspecified Fund,0,0,2,0,0,2
Napsa Pvt Ltd,India,Consumer Cyclicals,2022-10-07,3,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,2,0,0,2
Napsa Pvt Ltd,India,Consumer Cyclicals,2022-10-07,3,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,2,0,0,2
Napsa Pvt Ltd,India,Consumer Cyclicals,2022-10-07,3,Expansion,Venture Catalysts Pvt Ltd,Venture Catalysts Pvt Ltd - Unspecified Fund,0,0,2,0,0,2
Narayana Hrudayalaya Ltd,India,Healthcare,2008-02-07,1,Acquisition,American International Group Inc,"American International Group, Inc. - Unspecified Fund",51,0,101,0,0,101
Narayana Hrudayalaya Ltd,India,Healthcare,2008-02-07,1,Acquisition,Unitas Capital Pte Ltd,"Asia Opportunity Fund II, L.P.",51,0,101,0,0,101
Narayana Hrudayalaya Ltd,India,Healthcare,2015-01-14,2,Acquisition,British International Investment PLC,British International Investment - Unspecified Fund,48,48,48,0,48,48
Narayana Hrudayalaya Ltd,India,Healthcare,2022-09-05,3,Acquisition for Expansion,British International Investment PLC,British International Investment - Unspecified Fund,3,0,3,0,0,3
Nasadiya Technologies Pvt Ltd,India,Technology,2018-02-05,2,Expansion,Beijing Shun Wei Capital Investment Consulting Co Ltd,Shunwei Capital Partners - Unspecified Fund,1,0,4,0,0,4
Nasadiya Technologies Pvt Ltd,India,Technology,2018-02-05,2,Expansion,Contrarian Capital Management LLC,Contrarian Capital Management LLC - Unspecified Fund,1,0,4,0,0,4
Nasadiya Technologies Pvt Ltd,India,Technology,2018-02-05,2,Expansion,Nexus Venture Partners,Nexus Venture Partners - Unspecified Fund,1,0,4,0,0,4
Nasadiya Technologies Pvt Ltd,India,Technology,2018-02-05,2,Expansion,Omidyar Network Commons LLC,Omidyar Network Fund LLC,1,0,4,0,0,4
Nasadiya Technologies Pvt Ltd,India,Technology,2018-02-05,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,4,0,0,4
Nasadiya Technologies Pvt Ltd,India,Technology,2018-02-05,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,4,0,0,4
Nasadiya Technologies Pvt Ltd,India,Technology,2018-02-05,2,Expansion,WEH Ventures,WEH Ventures - Unspecified Fund,1,0,4,0,0,4
Nasadiya Technologies Pvt Ltd,India,Technology,2019-06-06,3,Expansion,Beijing Shun Wei Capital Investment Consulting Co Ltd,Shunwei Capital Partners - Unspecified Fund,3,0,15,0,0,15
Nasadiya Technologies Pvt Ltd,India,Technology,2019-06-06,3,Expansion,Contrarian Capital India Partners Pvt Ltd,Contrarian Vriddhi Fund I,3,0,15,0,0,15
Nasadiya Technologies Pvt Ltd,India,Technology,2019-06-06,3,Expansion,Nexus Venture Partners,Nexus Venture Partners - Unspecified Fund,3,0,15,0,0,15
Nasadiya Technologies Pvt Ltd,India,Technology,2019-06-06,3,Expansion,Omidyar Network Commons LLC,Omidyar Network Fund LLC,3,0,15,0,0,15
Nasadiya Technologies Pvt Ltd,India,Technology,2019-06-06,3,Expansion,Qiming Weichuang Venture Capital Mgmt (Shanghai) Co Ltd,Qiming Venture Partners - Unspecified Fund,3,0,15,0,0,15
Nasadiya Technologies Pvt Ltd,India,Technology,2019-06-06,3,Expansion,WEH Ventures,WEH Ventures - Unspecified Fund,3,0,15,0,0,15
Nasadiya Technologies Pvt Ltd,India,Technology,2020-04-30,4,Expansion,Beijing Shun Wei Capital Investment Consulting Co Ltd,Shunwei Capital Partners - Unspecified Fund,1,1,10,0,0,10
Nasadiya Technologies Pvt Ltd,India,Technology,2020-04-30,4,Expansion,Nexus Venture Partners,Nexus Venture Partners - Unspecified Fund,0,0,10,0,0,10
Nasadiya Technologies Pvt Ltd,India,Technology,2020-04-30,4,Expansion,Omidyar Network Commons LLC,Omidyar Network Fund LLC,1,1,10,0,0,10
Nasadiya Technologies Pvt Ltd,India,Technology,2020-04-30,4,Expansion,Tencent Investment,Tencent Investment - Unspecified Fund,8,8,10,0,0,10
Nasadiya Technologies Pvt Ltd,India,Technology,2020-04-30,4,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,10,0,0,10
Nasadiya Technologies Pvt Ltd,India,Technology,2021-07-14,5,Expansion,Omidyar Network India Advisors Pvt Ltd,Omidyar Network India Advisors Pvt Ltd - Unspecified Fund,12,0,48,0,0,48
Nasadiya Technologies Pvt Ltd,India,Technology,2021-07-14,5,Expansion,Undisclosed Firm,Undisclosed Fund,12,0,48,0,0,48
Nasadiya Technologies Pvt Ltd,India,Technology,2021-07-14,5,Expansion,Undisclosed Firm,Undisclosed Fund,12,0,48,0,0,48
Nasadiya Technologies Pvt Ltd,India,Technology,2021-07-14,5,Expansion,Undisclosed Firm,Undisclosed Fund,12,0,48,0,0,48
Nashik Vintners Pvt Ltd,India,Consumer Non-Cyclicals,2005-10-04,1,Expansion,Gem India Advisors,GEM India Advisors - Unspecified Fund,3,3,3,0,0,3
Nashik Vintners Pvt Ltd,India,Consumer Non-Cyclicals,2007-08-01,2,Expansion,Everstone Capital Asia Pte. Ltd,Everstone Capital Asia Pte Ltd - Unspecified Fund,13,13,13,0,0,13
Natch Products & Services Pvt Ltd,India,Consumer Non-Cyclicals,2023-11-09,1,Expansion,Artha India Ventures,Artha Venture Fund I,0,0,0,0,0,0
Natch Products & Services Pvt Ltd,India,Consumer Non-Cyclicals,2023-11-09,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Natco Pharma Ltd,India,Healthcare,2011-12-14,1,PIPE,Kotak Alternate Asset Managers Limited,"Kotak Investment Advisors, Ltd. - Unspecified Fund",0,0,0,0,0,0
National Bulk Handling Corporation Pvt Ltd,India,Consumer Non-Cyclicals,2014-04-26,1,LBO,True North Ventures Pvt Ltd,India Value Fund IV,0,0,0,0,40,40
National Commodities Management Services Ltd,India,Industrials,2010-07-13,1,Expansion,International Finance Corp,International Finance Corp - Unspecified Fund,7,0,15,0,0,15
National Commodities Management Services Ltd,India,Industrials,2010-07-13,1,Expansion,Rabo Participaties BV,Rabo Participaties BV - Unspecified Fund,7,0,15,0,0,15
National Commodities Management Services Ltd,India,Industrials,2011-05-30,2,Expansion,International Finance Corp,International Finance Corp - Unspecified Fund,6,6,22,0,0,22
National Commodities Management Services Ltd,India,Industrials,2011-05-30,2,Expansion,Rabo India Finance Ltd,India Agri Business Fund,8,8,22,0,0,22
National Commodities Management Services Ltd,India,Industrials,2011-05-30,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,22,0,0,22
National Commodities Management Services Ltd,India,Industrials,2011-05-30,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,22,0,0,22
National Commodities Management Services Ltd,India,Industrials,2011-05-30,2,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,22,0,0,22
National Commodities Management Services Ltd,India,Industrials,2011-05-30,2,Expansion,Undisclosed Firm,Undisclosed Fund,5,5,22,0,0,22
National Commodities Management Services Ltd,India,Industrials,2015-07-20,3,LBO,Fairfax India Holdings Corp,Fairfax India Holdings Corp,0,0,0,0,126,126
National Commodities Management Services Ltd,India,Industrials,2019-10-01,4,Acquisition,Fairfax India Holdings Corp,Fairfax India Holdings Corp,14,14,14,0,14,14
National Stock Exchange Of India Ltd,India,Financials,2007-03-09,2,Acquisition,Actis Llp,Actis India Fund 2,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2007-03-09,2,Acquisition,Citigroup Private Equity LP,Citigroup Private Equity - Unspecified Fund,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2007-03-09,2,Acquisition,Morgan Stanley Capital Partners,Morgan Stanley Private Equity - Unspecified Fund,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2009-06-05,3,Acquisition,Norwest Venture Partners,Norwest Venture Partners - Unspecified Fund,54,54,54,0,0,54
National Stock Exchange Of India Ltd,India,Financials,2010-05-03,4,Acquisition,Temasek Holdings Pvt Ltd,Temasek Holdings (Pvt) Ltd - Unspecified Fund,175,175,175,0,0,175
National Stock Exchange Of India Ltd,India,Financials,2013-04-03,5,Pending Acquisition,Wolfensohn & Company LLC,Wolfensohn Low Carbon Energy Fund,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2013-06-27,6,Acquisition,GTI Capital,"GTI V, societe en commandite",13,13,13,0,0,13
National Stock Exchange Of India Ltd,India,Financials,2020-04-09,7,Acquisition,TA Associates Management LP,TA Associates Management LP - Unspecified Fund,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2020-07-02,8,Acquisition,TA Associates Management LP,TA Associates Management LP - Unspecified Fund,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2021-08-19,9,Pending Acquisition,TA Associates Management LP,TA Associates Management LP - Unspecified Fund,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2021-12-15,10,Acquisition,White Oak Capital Management Consultants LLP,White Oak Capital Management Consultants LLP -UF,17,0,17,0,0,17
National Stock Exchange Of India Ltd,India,Financials,2023-02-02,11,Acquisition,India Alternatives Investment Advisors Pvt Ltd,India Alternatives Private Equity Fund,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2023-06-09,12,Pending Acquisition,Avendus PE Investment Advisors Pvt Ltd,Avendus Future Leaders Fund II,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2023-06-09,12,Pending Acquisition,Axiom Asia Private Capital Pte Ltd,"Axiom Asia Opportunity Fund, L.P.",0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2023-07-20,13,Acquisition,NewQuest Capital Advisors HK Ltd,NewQuest Asia Fund IV,0,0,0,0,36,36
National Stock Exchange Of India Ltd,India,Financials,2023-08-05,14,Acquisition,NewQuest Capital Advisors HK Ltd,NewQuest Asia Fund IV,0,0,0,0,23,23
National Stock Exchange Of India Ltd,India,Financials,2024-01-29,15,Acquisition,Axis Asset Management Co Ltd,Axis Growth Avenues AIF - I,0,0,0,0,0,0
National Stock Exchange Of India Ltd,India,Financials,2024-07-10,16,Acquisition,Global Alternative Investment Management LLC,Global Alts SPV LLC- NSE India,0,0,0,0,0,0
Nationwide Primary Healthcare Services Pvt Ltd,India,Healthcare,2017-02-06,4,Expansion,Norwest Venture Partners,Norwest Venture Partners - Unspecified Fund,0,0,0,0,0,0
Natural Capsules Ltd,India,Healthcare,2023-06-22,1,Acquisition,Somerset Indus Capital Partners,Somerset Indus Capital Partners - Unspecified Fund,0,0,0,0,0,0
Natural Capsules Ltd,India,Healthcare,2023-06-22,1,Acquisition,Somerset Indus Capital Partners,Somerset Indus Healthcare India Fund,0,0,0,0,9,9
Natural Capsules Ltd,India,Healthcare,2023-06-22,1,Acquisition,Somerset Indus Capital Partners,Somerset Indus Healthcare India Fund II,0,0,0,0,9,9
Natureovedic Consumers Private Ltd,India,Consumer Cyclicals,2024-08-13,1,Expansion,Sauce Venture Capital,Sauce Consumer Venture Capital Fund III,0,0,0,0,0,0
Natureovedic Consumers Private Ltd,India,Consumer Cyclicals,2024-08-13,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Naturohabit Pvt Ltd,India,Consumer Cyclicals,2023-12-12,3,Expansion,Amazon.Com Inc,Amazon Smbhav Venture Fund,2,0,10,0,0,10
Naturohabit Pvt Ltd,India,Consumer Cyclicals,2023-12-12,3,Expansion,Bertelsmann India Investments,Bertelsmann India Investments - UF,2,0,10,0,0,10
Naturohabit Pvt Ltd,India,Consumer Cyclicals,2023-12-12,3,Expansion,Mosaic Media Ventures Pvt Ltd,Fireside Ventures - Unspecified Fund,2,0,10,0,0,10
Naturohabit Pvt Ltd,India,Consumer Cyclicals,2023-12-12,3,Expansion,Sharrp Ventures,Sharrp Ventures- Unspecified Fund,2,0,10,0,0,10
Naturohabit Pvt Ltd,India,Consumer Cyclicals,2023-12-12,3,Expansion,Undisclosed Firm,Undisclosed Fund,2,0,10,0,0,10
Navadhan Capital Pvt Ltd,India,Technology,2023-06-21,1,Expansion,Anicut Capital LLP,Anicut Opportunities Fund I,1,0,2,0,0,2
Navadhan Capital Pvt Ltd,India,Technology,2023-06-21,1,Expansion,Gemba Capital Investment Advisors LLP,Gemba Capital - Unspecified Fund,1,0,2,0,0,2
Navadhan Capital Pvt Ltd,India,Technology,2023-06-21,1,Expansion,Varanium Capital Advisors Pvt Ltd,Varanium NexGen Fund,1,0,2,0,0,2
Navadhan Capital Pvt Ltd,India,Technology,2023-12-06,2,Expansion,Gemba Capital Investment Advisors LLP,Gemba Capital - Unspecified Fund,2,0,5,0,0,5
Navadhan Capital Pvt Ltd,India,Technology,2023-12-06,2,Expansion,Prime Venture Partners,Prime Venture Partners - Unspecified Fund,2,0,5,0,0,5
Navadhan Capital Pvt Ltd,India,Technology,2023-12-06,2,Expansion,Varanium Capital Advisors Pvt Ltd,Varanium NexGen Fund,2,0,5,0,0,5
Navars Edutech Pvt Ltd,India,Academic & Educational Services,2021-06-23,1,Expansion,Faad Network Pvt Ltd,Faad Network - Unspecified Fund,0,0,0,0,0,0
Navars Edutech Pvt Ltd,India,Academic & Educational Services,2022-09-15,2,Expansion,O2 Angel Network Llp,O2 Angel Network - Unspecified Fund,0,0,0,0,0,0
Navashya Consumer Products Pvt Ltd,India,Consumer Non-Cyclicals,2020-01-31,2,Expansion,DSG Consumer Partners,DSG Consumer Partners - Unspecified Fund,0,0,0,0,0,0
Navashya Consumer Products Pvt Ltd,India,Consumer Non-Cyclicals,2021-04-05,3,Expansion,DSG Consumer Partners,DSG Consumer Partners - Unspecified Fund,1,0,2,0,0,2
Navashya Consumer Products Pvt Ltd,India,Consumer Non-Cyclicals,2021-04-05,3,Expansion,Saama Capital LLC,Saama Capital LLC - Unspecified Fund,1,0,2,0,0,2
Navashya Consumer Products Pvt Ltd,India,Consumer Non-Cyclicals,2021-11-09,4,Mezzanine,Alteria Capital Advisors Llp,Alteria Capital India Fund I,0,0,0,0,0,0
Navashya Consumer Products Pvt Ltd,India,Consumer Non-Cyclicals,2022-05-12,5,Expansion,DSG Consumer Partners,DSG Consumer Partners - Unspecified Fund,1,1,3,0,0,3
Navashya Consumer Products Pvt Ltd,India,Consumer Non-Cyclicals,2022-05-12,5,Expansion,Saama Capital LLC,Saama Capital LLC - Unspecified Fund,1,1,3,0,0,3
Navashya Consumer Products Pvt Ltd,India,Consumer Non-Cyclicals,2022-05-12,5,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,3,0,0,3
Navashya Consumer Products Pvt Ltd,India,Consumer Non-Cyclicals,2022-05-12,5,Expansion,Venture Catalysts Pvt Ltd,Venture Catalysts Pvt Ltd - Unspecified Fund,0,0,3,0,0,3
Navata Supply Chain Solutions Private Ltd,India,Industrials,2024-04-16,1,Expansion,Equanimity Investments Ltd,Equanimity Investments Fund,0,0,0,0,0,0
Navayuga Quazigund Expressway Pvt Ltd,India,Industrials,2022-07-13,1,LBO,National Investment & Infrastructure Fund Limited,NIIF Master Fund,0,0,0,0,0,0
Navi Finserv Pvt Ltd,India,Financials,2016-08-05,1,Expansion,Shorebank Capital Corp,"ShoreCap II, Ltd.",4,0,7,0,0,7
Navi Finserv Pvt Ltd,India,Financials,2016-08-05,1,Expansion,Undisclosed Firm,Undisclosed Fund,4,0,7,0,0,7
Navia Life Care Pvt Ltd,India,Technology,2021-08-17,1,Expansion,100Unicorns,100Unicorns - Unspecified Fund,0,0,1,0,0,1
Navia Life Care Pvt Ltd,India,Technology,2021-08-17,1,Expansion,Anicut Capital LLP,Anicut Angel Fund,0,0,1,0,0,1
Navia Life Care Pvt Ltd,India,Technology,2021-08-17,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,1,0,0,1
Navipoint Health India Pvt Ltd,India,Technology,2024-10-01,1,Expansion,Right Side Capital Management LLC,Right Side Capital Management LLC - Unspecified Fund,4,4,13,0,0,13
Navipoint Health India Pvt Ltd,India,Technology,2024-10-01,1,Expansion,Undisclosed Firm,Undisclosed Fund,8,0,13,0,0,13
Navork Innovations Pvt Ltd,India,Healthcare,2024-01-08,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Navork Innovations Pvt Ltd,India,Healthcare,2024-01-08,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Navork Innovations Pvt Ltd,India,Healthcare,2024-01-08,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Navork Innovations Pvt Ltd,India,Healthcare,2024-01-08,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Nawgati Tech Pvt Ltd,India,Technology,2023-10-10,1,Expansion,Allin Capital Llc,All In Capital Fund,0,0,0,0,0,0
Nawgati Tech Pvt Ltd,India,Technology,2024-01-03,2,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Nazara Technologies Limited,India,Technology,2005-10-19,1,Expansion,Peak Xv Partners,Peak XV Partners - Unspecified Fund,2,2,2,0,0,2
Nazara Technologies Limited,India,Technology,2021-10-06,3,PIPE,GIC Special Investments Pte Ltd,GIC Pvt Ltd - Unspecified Fund,21,0,42,0,0,42
Nazara Technologies Limited,India,Technology,2021-10-06,3,PIPE,Undisclosed Firm,Undisclosed Fund,21,0,42,0,0,42
Nazara Technologies Limited,India,Technology,2022-08-31,4,PIPE,Signal Peak Ventures,Signal Peak Ventures - Unspecified Fund,10,0,10,0,0,10
NCC Ltd,India,Industrials,2007-08-28,2,Acquisition,Blackstone Inc,"Blackstone Group, L.P. - Unspecified Fund",0,0,0,0,150,150
NCC Ltd,India,Industrials,2011-05-03,3,Open Market Purchase,ChrysCapital LLP,ChrysCapital Management Companies - Unspecified Fund,15,15,15,0,0,15
NCC Ltd,India,Industrials,2011-08-26,4,Open Market Purchase,ChrysCapital LLP,ChrysCapital Management Companies - Unspecified Fund,6,6,6,0,6,6
NCC Ltd,India,Industrials,2012-02-06,5,PIPE,Baer Capital Partners Ltd,"Beacon India Private Equity Fund, The",5,5,5,0,0,5
Ncome Tech Solutions Pvt Ltd,India,Technology,2023-05-10,3,Expansion,100Unicorns,100Unicorns - Unspecified Fund,1,0,5,0,0,5
Ncome Tech Solutions Pvt Ltd,India,Technology,2023-05-10,3,Expansion,Faad Network Pvt Ltd,Faad Network - Unspecified Fund,1,0,5,0,0,5
Ncome Tech Solutions Pvt Ltd,India,Technology,2023-05-10,3,Expansion,IIFL Finance Ltd,IIFL Fintech Fund,1,0,5,0,0,5
