"company","total_deals","total_investment","avg_deal_size","first_investment","last_investment"
"Upgrid Solutions Pvt Ltd",9,64,7.11111111111111,2023,2024
"Parag Milk Foods, Ltd.",6,63,10.5,2008,2021
"REI Agro,Ltd.",3,63,21,2010,2010
"SPML Infra Ltd",1,63,63,2007,2007
"Syngene International Ltd",2,63,31.5,2012,2015
"TI Clean Mobility Pvt Ltd",6,63,10.5,2023,2024
"Trell Experiences Pvt Ltd",20,63,3.15,2019,2021
"Blue Ridge",2,62,31,2007,2007
"Elixa Technologies Pvt Ltd",10,62,6.2,2021,2024
"Heisetasse Beverages Pvt Ltd",5,62,12.4,2022,2023
"Prius Commercial Projects Pvt Ltd",1,62,62,2021,2021
"Virescent Infrastructure Investment Manager Pvt Ltd",5,62,12.4,2020,2021
"Cogo Freight Pvt Ltd",5,61,12.2,2020,2022
"Sahajanand Medical Technologies Limited",14,61,4.35714285714286,2016,2023
"Aster Pvt Ltd",2,60,30,2007,2007
"Financial Software & Systems Pte Ltd",2,60,30,2009,2009
"Hyderabad Institute Of Oncology Pvt Ltd",1,60,60,2024,2024
"ING Vysya Bank Ltd",4,60,15,2011,2013
"Incred Financial Services Ltd",20,60,3,2022,2023
"Krishna Godavari Gas Network Ltd",1,60,60,2006,2006
"Pixxel Space Technologies Inc",11,60,5.45454545454545,2023,2024
"Sael Industries Ltd",6,60,10,2023,2024
"Shadowfax Technologies Pvt Ltd",17,60,3.52941176470588,2019,2024
"Vogueme Technologies Pvt Ltd",20,60,3,2021,2024
"Yatra Online Pvt Ltd",11,60,5.45454545454545,2011,2017
"Monnet Power Co Ltd",1,59,59,2010,2010
"Thomas Cook (India) Ltd",4,59,14.75,2012,2021
"Zensar Technologies Ltd",5,59,11.8,2015,2024
"Gangavaram Port Ltd",2,58,29,2007,2008
"Infifresh Foods Pvt Ltd",13,58,4.46153846153846,2023,2024
"Lotus Greens Developers Housing Project",1,58,58,2013,2013
"Oaktree Capital - Prabhadevi Project",1,58,58,2021,2021
"Prime Focus Ltd",3,58,19.3333333333333,2012,2016
