"sdc_deal_number","company_name","exit_type","date_announced_filed","date_completed_issued","ticker","proceeds_amt_overallot_sold_all_markets_usd","acquiror_name","rank_value_incl_net_debt_sum_usd","rank_value_incl_net_debt_average_usd","rank_value_incl_net_debt_median_usd","m_a_deal_value_average_usd","m_a_deal_value_sum_usd","m_a_deal_value_median_usd","value_of_earnout_average_usd","value_of_earnout_sum_usd","value_of_earnout_median_usd","purchase_price_average_usd","purchase_price_sum_usd","purchase_price_median_usd","time_to_exit_years","no_of_deals","no_of_ipos","no_of_deals_w_m_a_deal_value","exit_portfolio_company_trbc_industry_group","exit_portfolio_company_trbc_industry","exit_portfolio_company_trbc_economic_sector","exit_portfolio_company_trbc_business_sector","exit_portfolio_company_trbc_activity","exit_date_completed_issued_30","exit_portfolio_company_nation","exit_date_announced_filed_32","exit_date_completed_issued_33","exit_date_completed_issued_34","exit_date_announced_filed_35","exit_date_completed_issued_36","exit_date_completed_issued_37","exit_date_announced_filed_38","exit_date_completed_issued_39","exit_year","company","exit_value","sector"
"154084902980","PME Power Solutions India Ltd","IPO","21/07/2011","21/07/2011","N/A",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3.7,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Heavy Electrical Equipment","Industrials","Industrial Goods","Heavy Electrical Equipment (NEC)","21/07/2011","India","21/07/2011","21/07/2011","21/07/2011","21/07/2011","21/07/2011","21/07/2011","21/07/2011","21/07/2011",NA,"PME Power Solutions India Ltd",154084902980,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
"154084900474","ACB (India) Ltd","IPO","01/06/2011","01/06/2011","N/A",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,5.2,1,1,0,"Coal","Coal","Energy","Energy - Fossil Fuels","Coal (NEC)","01/06/2011","India","01/06/2011","01/06/2011","01/06/2011","01/06/2011","01/06/2011","01/06/2011","01/06/2011","01/06/2011",NA,"ACB (India) Ltd",154084900474,"Coal"
"154084810006","Powerica Ltd","IPO","14/03/2011","14/03/2011","N/A",310.7,NA,0,0,0,0,0,0,0,0,0,0,0,0,3.4,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Heavy Electrical Equipment","Industrials","Industrial Goods","Heavy Electrical Equipment (NEC)","14/03/2011","India","14/03/2011","14/03/2011","14/03/2011","14/03/2011","14/03/2011","14/03/2011","14/03/2011","14/03/2011",NA,"Powerica Ltd",154084810006,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
"154084821206","International Tractors Ltd","IPO","28/07/2008","28/07/2008","N/A",100,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Heavy Machinery & Vehicles","Industrials","Industrial Goods","Agricultural Machinery","28/07/2008","India","28/07/2008","28/07/2008","28/07/2008","28/07/2008","28/07/2008","28/07/2008","28/07/2008","28/07/2008",NA,"International Tractors Ltd",154084821206,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
"154084923987","Ind Barath Power Infra Ltd","IPO","01/12/2014","01/12/2014","N/A",242.15,NA,0,0,0,0,0,0,0,0,0,0,0,0,7.4,1,1,0,"Electric Utilities & IPPs","Electric Utilities","Utilities","Utilities","Electric Utilities (NEC)","01/12/2014","India","01/12/2014","01/12/2014","01/12/2014","01/12/2014","01/12/2014","01/12/2014","01/12/2014","01/12/2014",NA,"Ind Barath Power Infra Ltd",154084923987,"Electric Utilities & IPPs"
"154084667787","Monte Carlo Fashions Ltd","IPO","06/11/2012","09/12/2014","N/A",56.64,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1,1,0,"Specialty Retailers","Apparel & Accessories Retailers","Consumer Cyclicals","Retailers","Men's Apparel Retailers","09/12/2014","India","06/11/2012","09/12/2014","09/12/2014","06/11/2012","09/12/2014","09/12/2014","06/11/2012","09/12/2014",NA,"Monte Carlo Fashions Ltd",154084667787,"Specialty Retailers"
"154084879961","SMC Global Securities Ltd","IPO","02/11/2012","02/11/2012","N/A",23.23,NA,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1,1,0,"Investment Banking & Investment Services","Diversified Investment Services","Financials","Banking & Investment Services","Diversified Investment Services","02/11/2012","India","02/11/2012","02/11/2012","02/11/2012","02/11/2012","02/11/2012","02/11/2012","02/11/2012","02/11/2012",NA,"SMC Global Securities Ltd",154084879961,"Investment Banking & Investment Services"
"154084880063","Repco Home Finance, Ltd.","IPO","30/09/2011","26/03/2013","N/A",49.64,NA,0,0,0,0,0,0,0,0,0,0,0,0,5.2,1,1,0,"Banking Services","Consumer Lending","Financials","Banking & Investment Services","Consumer Lending (NEC)","26/03/2013","India","30/09/2011","26/03/2013","26/03/2013","30/09/2011","26/03/2013","26/03/2013","30/09/2011","26/03/2013",NA,"Repco Home Finance, Ltd.",154084880063,"Banking Services"
"154087293812","India1 Payments Ltd","IPO","07/09/2021","07/09/2021","N/A",20.42,NA,0,0,0,0,0,0,0,0,0,0,0,0,7.8,1,1,0,"Office Equipment","Office Equipment","Technology","Technology Equipment","Point of Sale Systems","07/09/2021","India","07/09/2021","07/09/2021","07/09/2021","07/09/2021","07/09/2021","07/09/2021","07/09/2021","07/09/2021",NA,"India1 Payments Ltd",154087293812,"Office Equipment"
"154087253281","SJS Enterprises Ltd","IPO","27/07/2021","03/11/2021","N/A",107.46,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.1,1,1,0,"Personal & Household Products & Services","Personal Services","Consumer Non-Cyclicals","Personal & Household Products & Services","Consumer Repair Services","03/11/2021","India","27/07/2021","03/11/2021","03/11/2021","27/07/2021","03/11/2021","03/11/2021","27/07/2021","03/11/2021",NA,"SJS Enterprises Ltd",154087253281,"Personal & Household Products & Services"
"154086907487","Delhivery Pvt Ltd","IPO","16/09/2020","13/05/2022","N/A",675.89,NA,0,0,0,0,0,0,0,0,0,0,0,0,8.6,1,1,0,"Freight & Logistics Services","Courier, Postal, Air Freight & Land-based Logistics","Industrials","Transportation","Freight Logistics","13/05/2022","India","16/09/2020","13/05/2022","13/05/2022","16/09/2020","13/05/2022","13/05/2022","16/09/2020","13/05/2022",NA,"Delhivery Pvt Ltd",154086907487,"Freight & Logistics Services"
"154087231392","Five-Star Business Finance Ltd","IPO","07/07/2021","11/11/2022","N/A",198,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,1,0,"Banking Services","Consumer Lending","Financials","Banking & Investment Services","Consumer Lending (NEC)","11/11/2022","India","07/07/2021","11/11/2022","11/11/2022","07/07/2021","11/11/2022","11/11/2022","07/07/2021","11/11/2022",NA,"Five-Star Business Finance Ltd",154087231392,"Banking Services"
"154084924111","Uniparts India Ltd","IPO","25/09/2014","02/12/2022","N/A",102.64,NA,0,0,0,0,0,0,0,0,0,0,0,0,14.8,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Industrial Machinery & Equipment","Industrials","Industrial Goods","Industrial Machinery & Equipment (NEC)","02/12/2022","India","25/09/2014","02/12/2022","02/12/2022","25/09/2014","02/12/2022","02/12/2022","25/09/2014","02/12/2022",NA,"Uniparts India Ltd",154084924111,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
"154084928315","Numero Uno Clothing Ltd","IPO","29/04/2015","29/04/2015","N/A",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.1,1,1,0,"Textiles & Apparel","Apparel & Accessories","Consumer Cyclicals","Cyclical Consumer Products","Apparel & Accessories (NEC)","29/04/2015","India","29/04/2015","29/04/2015","29/04/2015","29/04/2015","29/04/2015","29/04/2015","29/04/2015","29/04/2015",NA,"Numero Uno Clothing Ltd",154084928315,"Textiles & Apparel"
"154084926067","Matrix Cellular (International) Services Pvt Ltd","IPO","09/06/2015","09/06/2015","N/A",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1,1,0,"Telecommunications Services","Integrated Telecommunications Services","Technology","Telecommunications Services","Telecommunications Resellers","09/06/2015","India","09/06/2015","09/06/2015","09/06/2015","09/06/2015","09/06/2015","09/06/2015","09/06/2015","09/06/2015",NA,"Matrix Cellular (International) Services Pvt Ltd",154084926067,"Telecommunications Services"
"154084896916","SSIPL Retail Ltd","IPO","29/09/2011","29/09/2011","N/A",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Textiles & Apparel","Footwear","Consumer Cyclicals","Cyclical Consumer Products","Footwear (NEC)","29/09/2011","India","29/09/2011","29/09/2011","29/09/2011","29/09/2011","29/09/2011","29/09/2011","29/09/2011","29/09/2011",NA,"SSIPL Retail Ltd",154084896916,"Textiles & Apparel"
