"investee_company_name","investee_company_nation","investee_company_trbc_economic_sector","investment_date","round_number","investment_stage","firm_investor_name","fund_investor_name","investor_equity_total_usd_millions","disclosed_fund_equity_contribution_usd_millions","round_equity_total_usd_millions","disclosed_debt_contribution_usd_millions","deal_value_usd_millions","deal_rank_value_usd_millions","investment_year","sector","stage","company","deal_value","stage_category"
"5c Network Pvt Ltd","India","Healthcare",2020-12-08,1,"Expansion","Axilor Ventures Pvt Ltd","Axilor Ventures Pvt Ltd - Unspecified Fund",1,0,1,0,0,1,2020,"Healthcare",1,"5c Network Pvt Ltd",1,"Other"
"5c Network Pvt Ltd","India","Healthcare",2020-12-08,1,"Expansion","Unitus Ventures Advisors Llp","Unitus Ventures Fund II",1,0,1,0,0,1,2020,"Healthcare",1,"5c Network Pvt Ltd",1,"Other"
"5c Network Pvt Ltd","India","Healthcare",2022-07-30,2,"Expansion","Undisclosed Firm","Undisclosed Fund",3,0,3,0,0,3,2022,"Healthcare",2,"5c Network Pvt Ltd",3,"Other"
"5c Network Pvt Ltd","India","Healthcare",2022-10-12,3,"Expansion","Axilor Ventures Pvt Ltd","Axilor Ventures Pvt Ltd - Unspecified Fund",2,0,5,0,0,5,2022,"Healthcare",3,"5c Network Pvt Ltd",2,"Other"
"5c Network Pvt Ltd","India","Healthcare",2022-10-12,3,"Expansion","Celesta Global Capital Managers LLC","Celesta Global Capital Managers LLC - Unspecified Fund",2,0,5,0,0,5,2022,"Healthcare",3,"5c Network Pvt Ltd",2,"Other"
"5c Network Pvt Ltd","India","Healthcare",2022-10-12,3,"Expansion","Unitus Ventures Advisors Llp","UV III GP LLC",2,0,5,0,0,5,2022,"Healthcare",3,"5c Network Pvt Ltd",2,"Other"
"60 Decibels Inc","India","Consumer Cyclicals",2021-12-23,1,"Acquisition","FPE Capital LLP","FPE Fund II",0,0,0,0,0,0,2021,"Consumer Cyclicals",1,"60 Decibels Inc",0,"Other"
"63Ideas Infolabs Pvt Ltd","India","Technology",2019-04-27,4,"Expansion","Tiger Global Management LLC","Tiger Global Management LLC - Unspecified Fund",100,100,100,0,0,100,2019,"Technology",4,"63Ideas Infolabs Pvt Ltd",100,"Other"
"63Ideas Infolabs Pvt Ltd","India","Technology",2019-10-01,6,"Bridge Loan","Steadview Capital Management LLC","Steadview Capital Management LLC - Unspecified Fund",0,0,0,0,0,0,2019,"Technology",6,"63Ideas Infolabs Pvt Ltd",0,"Other"
"63Ideas Infolabs Pvt Ltd","India","Technology",2019-10-01,6,"Bridge Loan","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2019,"Technology",6,"63Ideas Infolabs Pvt Ltd",0,"Other"
"63Ideas Infolabs Pvt Ltd","India","Technology",2020-01-11,8,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,10,0,0,10,2020,"Technology",8,"63Ideas Infolabs Pvt Ltd",5,"Other"
"63Ideas Infolabs Pvt Ltd","India","Technology",2020-01-11,8,"Expansion","Undisclosed Firm","Undisclosed Fund",5,0,10,0,0,10,2020,"Technology",8,"63Ideas Infolabs Pvt Ltd",5,"Other"
"63Ideas Infolabs Pvt Ltd","India","Technology",2020-10-13,9,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2020,"Technology",9,"63Ideas Infolabs Pvt Ltd",0,"Other"
"63Ideas Infolabs Pvt Ltd","India","Technology",2020-10-13,9,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2020,"Technology",9,"63Ideas Infolabs Pvt Ltd",0,"Other"
"63Ideas Infolabs Pvt Ltd","India","Technology",2022-01-04,10,"Expansion","Undisclosed Firm","Undisclosed Fund",74,0,147,0,0,147,2022,"Technology",10,"63Ideas Infolabs Pvt Ltd",74,"Other"
"63Ideas Infolabs Pvt Ltd","India","Technology",2022-01-04,10,"Expansion","Undisclosed Firm","Undisclosed Fund",74,0,147,0,0,147,2022,"Technology",10,"63Ideas Infolabs Pvt Ltd",74,"Other"
"7 Classes","India","Academic & Educational Services",2020-09-28,1,"Mezzanine","Venture Catalysts Pvt Ltd","Venture Catalysts Pvt Ltd - Unspecified Fund",0,0,0,0,0,0,2020,"Academic & Educational Services",1,"7 Classes",0,"Other"
"99 Algorithms Pvt Ltd","India","Technology",2020-02-18,1,"Expansion","Indian Angel Network Services Pvt Ltd","IAN Fund",1,0,3,0,0,3,2020,"Technology",1,"99 Algorithms Pvt Ltd",1,"Other"
"99 Algorithms Pvt Ltd","India","Technology",2020-02-18,1,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,3,0,0,3,2020,"Technology",1,"99 Algorithms Pvt Ltd",1,"Other"
"99 Algorithms Pvt Ltd","India","Technology",2020-02-18,1,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,3,0,0,3,2020,"Technology",1,"99 Algorithms Pvt Ltd",1,"Other"
"99 Algorithms Pvt Ltd","India","Technology",2020-02-18,1,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,3,0,0,3,2020,"Technology",1,"99 Algorithms Pvt Ltd",1,"Other"
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2007-03-15,1,"Acquisition","Kotak Alternate Asset Managers Limited","Kotak Investment Advisors, Ltd. - Unspecified Fund",0,0,0,0,300,300,2007,"Consumer Cyclicals",1,"9X Media Pvt., Ltd.",0,"Other"
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2007-03-15,1,"Acquisition","New Silk Route Partners LLC","New Silk Route Partners LLC - Unspecified Fund",0,0,0,0,300,300,2007,"Consumer Cyclicals",1,"9X Media Pvt., Ltd.",0,"Other"
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2007-03-15,1,"Acquisition","New Vernon Pvt Equity Ltd","New Vernon Private Equity - Unspecified Fund",0,0,0,0,300,300,2007,"Consumer Cyclicals",1,"9X Media Pvt., Ltd.",0,"Other"
